Ticker,TSLA,TSLA,TSLA,TSLA,TSLA,AAPL,AAPL,AAPL,AAPL,AAPL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,MSFT,MSFT,MSFT,MSFT,MSFT,AMZN,AMZN,AMZN,AMZN,AMZN
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Close,High,Low,Open,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-16,211.14999389648438,219.8000030517578,210.8000030517578,216.1199951171875,88765100,222.88270038911833,225.77922361016536,222.6139468974481,225.00283813476562,44340200,160.69158549485795,164.26427515296893,160.35322821372176,162.17440795898438,24208600,416.0345458984375,418.8878379189571,414.87134183677813,418.15215435686315,22775600,177.0399932861328,178.33999633789062,176.25999450683594,177.05999755859375,31489200
2024-08-19,217.07000732421875,222.97999572753906,214.08999633789062,222.72000122070312,76435200,224.67435623990076,224.94310972106823,222.00676340736013,224.84356689453125,40687800,164.48321762709017,165.8864239492261,163.46813058711632,165.86651611328125,22416200,419.0767517089844,419.2954725526047,414.03625113553215,416.52170147668573,15234000,177.63999938964844,178.3000030517578,176.16000366210938,178.22000122070312,31129800
2024-08-20,224.8800048828125,228.22000122070312,219.55999755859375,221.10000610351562,74001200,224.72413110884563,226.11763957317405,224.4056062095116,225.460693359375,30299000,166.09540498956204,167.82702229118038,166.01580401532578,166.37405395507812,18341500,422.32769775390625,423.3815262412174,419.18611531171354,419.24576369099765,16387600,177.9199981689453,179.00999450683594,177.42999267578125,178.8800048828125,26255200
2024-08-21,222.6699981689453,224.66000366210938,218.86000061035156,223.27000427246094,70146000,225.4706659840429,226.92389412945442,224.00747444255492,225.35121154785156,34765500,164.35383848738525,166.04565527229005,163.87615672417527,165.05047607421875,22902000,421.6715393066406,423.91836557959886,419.26561024554667,421.6118605911061,16067300,179.9199981689453,182.38999938964844,178.88999938964844,180.11000061035156,35599100
2024-08-22,223.82000732421875,224.8000030517578,210.32000732421875,210.66000366210938,79514500,226.7347608131935,227.28221598709214,222.86278176595104,223.4898681640625,43695300,166.45367234576213,166.78208331350032,162.52271742896883,163.01036071777344,22493300,413.13153076171875,424.30613578026436,412.1969990352219,421.8902550651885,19361900,181.3800048828125,181.47000122070312,175.67999267578125,176.1300048828125,32047500
2024-08-23,214.4600067138672,221.47999572753906,214.2100067138672,220.32000732421875,81525200,224.61464290366072,227.16278137803022,223.29080225181497,225.78916931152344,38677300,163.92592374785485,165.37887691786474,163.0402148418206,164.8215789794922,13955700,414.36431884765625,416.8199448280934,409.69166039420327,414.5532154876874,18493800,177.33999633789062,178.97000122070312,175.24000549316406,177.0399932861328,29150100
2024-08-26,218.75,219.08999633789062,211.00999450683594,213.2100067138672,59301200,225.7095414433551,226.22713682494347,222.85284141893553,226.12759399414062,30602200,165.57791890865434,166.74227674166048,163.66717668126768,165.35897827148438,14190400,411.08349609375,414.85144695028356,408.9460150702165,413.94673947074824,13152800,176.6999969482422,177.47000122070312,174.3000030517578,175.5,22366200
2024-08-27,213.25,215.66000366210938,206.94000244140625,209.2100067138672,62821400,224.9530683997657,227.7898720189865,223.84820980142854,226.97366333007812,35934600,165.0405353166051,165.63764898462333,163.66719817653333,163.88612365722656,11821900,411.43145751953125,411.9484202096587,407.8623548739229,410.4571501735566,13492900,174.14999389648438,174.88999938964844,172.25,173.1199951171875,29842000
